Auction Date,Make,Model,Year,Kilometers,Miles,Mileage Notes,Sale_Status,Final Bid Price,VIN,Details,URL
11/1/22,PORSCHE,981 BOXSTER,2015,9656,6000,6k Miles,Sold,82500.0,WP0CB2A85FS140100,"Chassis: WP0CB2A85FS140100 ,6k Miles ,3.4-Liter Flat-Six ,Six-Speed Manual Transaxle ,Porsche Torque Vectoring ,Guards Red ,Black Leather & Alcantara ,Power-Operated Black Soft Top ,20"" Carrera S Wheels ,Sport Suspension ,Bi-Xenon Headlights w/ PDLS Plus ,Speed-Activated Rear Spoiler ,Convenience Package ,GTS Interior Package ,Sport Chrono Package ,PCM w/ Navigation ,Bose Sound System ,Carbon-Fiber Trim ,SportDesign Steering Wheel ,Window Sticker ,Clean Carfax Report",https://bringatrailer.com/listing/2015-porsche-boxster-gts-13/
11/1/22,HONDA,CIVIC,1995,96560,60000,60k Miles Shown,Sold,7877.0,JHMEH6163SS007616,"Chassis: JHMEH6163SS007616 ,60k Miles Shown ,1.6-Liter SOHC VTEC Inline-Four ,5-Speed Manual Transaxle ,Paradise Blue Green Pearl Paint ,Black Cloth Upholstery w/Blue Inserts ,14"" Alloy Wheels ,Removable Roof Panel ,Retractable Rear Window ,Cruise Control ,Factory Cassette Stereo ,Power Accessories ,Manufacturer's Literature ,Carfax Report",https://bringatrailer.com/listing/1995-honda-del-sol-19/
11/1/22,DATSUN,ROADSTER,1970,140012,87000,"87k Miles Shown, TMU",Sold,19500.0,SPL31128930,"Chassis: SPL31128930 ,87k Miles Shown, TMU ,Replacement 2.0-Liter Inline-Four ,5-Speed Manual Transmission  ,Repainted in Blue  ,Reupholstered Black Vinyl Bucket Seats  ,Replacement Black Canvas Soft Top  ,Hardtop  ,Tonneau Cover  ,Dual Carburetors  ,Libre-style 14"" Wheels ,Momo Steering Wheel ",https://bringatrailer.com/listing/1970-datsun-1600-roadster-25/
11/1/22,ASTON MARTIN,DB7,2002,82076,51000,51k Miles,Sold,30300.0,SCFAB22332K302635,"Chassis: SCFAB22332K302635 ,51k Miles ,5.9-Liter V12  ,Five-Speed Automatic Transmission ,Green Paint ,Beige & Green Leather Upholstery ,Staggered 18"" Alloy Wheels ,Bright Mesh Grilles ,Chrome Door Handles ,Air Conditioning  ,Power-Adjustable & Heated Front Seats ,Alpine Stereo w/Bluetooth ,Trunk-Mounted Umbrella",https://bringatrailer.com/listing/2002-aston-martin-db7-24/
11/1/22,CADILLAC,ALLANTÉ,1993,35405,22000,22k Miles,Sold,22000.0,1G6VS3394PU126735,"Chassis: 1G6VS3394PU126735 ,22k Miles ,4.6-Liter DOHC V8 ,Four-Speed Automatic Trasnmission ,Black Paint ,Natural Beige Leather Upholstery ,Black Soft Top  ,16"" Chrome-Finished Wheels ,Automatic Climate Control ,Driver Position Memory ,Cruise Control ,Power Windows & Locks ,Power-Adjustable Seats ,Symphony Sound CD/Cassette Stereo ,Clean Carfax Report ,Window Sticker",https://bringatrailer.com/listing/1993-cadillac-allante-69/
11/1/22,DELOREAN,DMC-12,1983,25749,16000,16k Miles Shown,Not Sold,29000.0,SCEDT26T3DD016798,"Chassis: SCEDT26T3DD016798 ,16k Miles Shown ,2.85-Liter PRV V6 ,Three-Speed Automatic Transaxle ,Stainless-Steel Bodywork ,Black Leather Upholstery ,14"" & 15"" Turbine Wheels ,Gullwing Doors ,Louvered Engine Cover ,AM/FM Cassette Stereo ,Accident-Free Carfax Report",https://bringatrailer.com/listing/1983-delorean-dmc-12-20/
11/1/22,PORSCHE,993 911,1997,43452,27000,27k Miles Shown,Sold,71700.0,WP0CA2998VS341410,"Chassis: WP0CA2998VS341410 ,27k Miles Shown ,3.6-Liter Flat-Six ,EVOMS Air-Intake System ,Six-Speed Manual Transaxle ,Limited-Slip Differential ,Black Paint ,Cashmere Beige Leather Upholstery ,Black Convertible Soft Top ,H&R Springs ,18"" Fuchs-Style Wheels ,Billy Boat Exhaust System ,Power-Adjustable Front Seats ,MOMO Steering Wheel & Pedal Covers ,Spare Wheels & Exhaust Components ,Porsche Certificate of Authenticity ,Clean Carfax Report",https://bringatrailer.com/listing/1997-porsche-911-carrera-cabriolet-72/
11/1/22,MERCEDES-BENZ,AMG,2004,80467,50000,50k Miles,Not Sold,27500.0,WDBSK74F14F064737,"Chassis: WDBSK74F14F064737 ,50k Miles ,Supercharged 5.4-Liter V8 ,Five-Speed Automatic Transmission ,Kleemann Limited-Slip Differential ,Brilliant Silver Metallic ,Red Leather Upholstery ,Replica Brabus Monoblock VI 19"" Wheels ,Power-Retractable Hardtop ,Kleemann Front & Rear Lower Valances ,Bi-Xenon Headlights ,Bose Sound System ,COMAND w/Navigation ,Heated & Ventilated Multi-Contour Seats ,Keyless Go ,Kleemann K1 & K2 Performance Packages ,Clean Carfax Report",https://bringatrailer.com/listing/2004-mercedes-benz-sl55-amg-71/
11/1/22,PORSCHE,911SC,1983,115872,72000,72k Miles Shown,Sold,49000.0,WP0EA0917DS171532,"Chassis: WP0EA0917DS171532 ,72k Miles Shown ,3.0-Liter Flat-Six ,5-Speed Manual Transaxle ,Guards Red Paint ,Black Leather Upholstery ,Black Convertible Top ,Dansk Exhaust Muffler ,16"" Fuchs-Style Wheels ,Air Conditioning ,Power Windows ,Kenwood CD Stereo ,Stock Exhaust & Stereo Included ,Manufacturer's Literature ,Window Sticker ,Clean Carfax Report",https://bringatrailer.com/listing/1983-porsche-911sc-cabriolet-56/
11/1/22,TOYOTA,LAND CRUISER FJ40,1979,114,71,"71 Miles Shown, TMU",Not Sold,34950.0,FJ40299169,"Chassis: FJ40299169 ,71 Miles Shown, TMU ,4.2-Liter Inline-Six ,Four-Speed Manual Transmission ,Dual-Range Transfer Case ,Yellow Paint ,Gray Upholstery ,White Roof ,Manually Locking Front Hubs ,16"" Wheels ,Front Disc Brakes ,Side Steps ,Rear Mounted Spare Tire ,Rear Inward-Facing Jump Seats ,Heater ,Kenwood CD Stereo",https://bringatrailer.com/listing/1979-toyota-land-cruiser-fj40-70/
